po_number,material_id,vendor,po_creation_date,expected_delivery_date,goods_receipt_date,ordered_qty,received_qty,po_status
GR-PO-000421,74,Lowveld Electromechanical Ltd (Pty) Ltd,2026-06-10,2026-10-17,2026-11-09,7,7,DELIVERED
GR-PO-000422,74,Highveld Industrial Supplies (Pty) Ltd,2025-05-17,2025-09-23,2025-09-29,10,10,DELIVERED
GR-PO-000423,74,Northern Cape Engineering Supplies (Pty) Ltd,2025-02-07,2025-06-16,2025-07-02,20,20,DELIVERED
GR-PO-000424,74,Kuruman Industrial Supplies (Pty) Ltd,2026-03-21,2026-07-28,2026-06-23,20,20,DELIVERED
GR-PO-000425,75,Northern Cape Industrial Distributors (Pty) Ltd,2026-02-23,2026-06-21,2026-06-25,20,20,DELIVERED
GR-PO-000426,75,Highveld Industrial Supplies (Pty) Ltd,2026-04-21,2026-08-17,2026-09-03,20,20,DELIVERED
GR-PO-000427,75,Orange River Engineering Supplies (Pty) Ltd,2025-07-07,2025-11-02,2025-10-26,5,5,DELIVERED
GR-PO-000428,75,Vaal Mining Equipment Traders (Pty) Ltd,2026-07-23,2026-11-18,2026-11-07,5,5,DELIVERED
GR-PO-000429,75,Kalahari Bearing & Drive Co (Pty) Ltd,2025-04-10,2025-08-06,2025-08-03,14,14,DELIVERED
GR-PO-000430,76,Kuruman Spares & Components (Pty) Ltd,2025-08-24,2025-10-17,2025-10-08,10,10,DELIVERED
GR-PO-000431,76,Orange River Industrial Distributors (Pty) Ltd,2026-04-13,2026-06-06,2026-06-17,13,13,DELIVERED
GR-PO-000432,76,Springbok Seals & Sealing Systems (Pty) Ltd,2025-01-20,2025-03-15,2025-03-15,19,19,DELIVERED
GR-PO-000433,76,Orange River Industrial Supplies (Pty) Ltd,2024-11-03,2024-12-27,2024-12-20,11,11,DELIVERED
GR-PO-000434,76,Kimberley Pump Solutions (Pty) Ltd,2026-04-22,2026-06-15,2026-06-27,3,3,DELIVERED
GR-PO-000435,76,Highveld Industrial Supplies (Pty) Ltd,2025-12-17,2026-02-09,2026-01-30,1,1,DELIVERED
GR-PO-000436,76,Escarpment Valve & Fittings (Pty) Ltd,2024-11-03,2024-12-27,2024-12-29,2,2,DELIVERED
GR-PO-000437,76,Bushveld Engineering Supplies (Pty) Ltd,2026-02-14,2026-04-09,2026-03-31,2,2,DELIVERED
GR-PO-000438,77,Lowveld Valve & Fittings (Pty) Ltd,2024-10-24,2024-12-09,2024-11-28,20,20,DELIVERED
GR-PO-000439,77,Bushveld Electromechanical Ltd (Pty) Ltd,2026-06-22,2026-08-07,2026-08-05,2,2,DELIVERED
GR-PO-000440,77,Lowveld Electromechanical Ltd (Pty) Ltd,2025-07-17,2025-09-01,2025-08-26,6,6,DELIVERED
GR-PO-000441,77,Orange River Engineering Supplies (Pty) Ltd,2026-07-26,2026-09-10,2026-09-09,5,5,DELIVERED
GR-PO-000442,78,Highveld Mining Equipment Traders (Pty) Ltd,2025-05-03,2025-08-28,2025-08-23,8,8,DELIVERED
GR-PO-000443,78,Orange River Bearing & Drive Co (Pty) Ltd,2025-02-15,2025-06-12,2025-07-07,15,15,DELIVERED
GR-PO-000444,78,Kalahari Bearing & Drive Co (Pty) Ltd,2025-12-13,2026-04-09,2026-04-02,3,3,DELIVERED
GR-PO-000445,78,Springbok Bearing & Drive Co (Pty) Ltd,2025-03-11,2025-07-06,2025-07-02,2,2,DELIVERED
GR-PO-000446,78,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-12-14,2026-04-10,2026-04-16,17,17,DELIVERED
GR-PO-000447,78,Escarpment Electromechanical Ltd (Pty) Ltd,2026-04-15,2026-08-10,2026-08-15,9,9,DELIVERED
GR-PO-000448,78,Bushveld Electromechanical Ltd (Pty) Ltd,2025-04-17,2025-08-12,2025-08-09,19,19,DELIVERED
GR-PO-000449,78,Namaqua Seals & Sealing Systems (Pty) Ltd,2026-01-14,2026-05-11,2026-05-15,14,14,DELIVERED
GR-PO-000450,79,Northern Cape Industrial Distributors (Pty) Ltd,2026-06-03,2026-08-13,2026-08-16,12,12,DELIVERED
GR-PO-000451,79,Springbok Bearing & Drive Co (Pty) Ltd,2025-02-11,2025-04-23,2025-04-28,16,16,DELIVERED
GR-PO-000452,79,Kimberley Pump Solutions (Pty) Ltd,2025-07-20,2025-09-29,2025-10-12,15,15,DELIVERED
GR-PO-000453,79,Upington Valve & Fittings (Pty) Ltd,2025-04-23,2025-07-03,2025-06-17,3,3,DELIVERED
GR-PO-000454,79,Bushveld Electromechanical Ltd (Pty) Ltd,2025-02-02,2025-04-14,2025-04-16,1,1,DELIVERED
GR-PO-000455,79,Bushveld Electromechanical Ltd (Pty) Ltd,2026-01-24,2026-04-05,2026-03-29,1,1,DELIVERED
GR-PO-000456,80,Lowveld Electromechanical Ltd (Pty) Ltd,2025-08-22,2026-01-11,2025-12-30,4,4,DELIVERED
GR-PO-000457,80,Escarpment Valve & Fittings (Pty) Ltd,2026-02-12,2026-07-04,2026-08-04,13,13,DELIVERED
GR-PO-000458,80,Lowveld Mining Equipment Traders (Pty) Ltd,2026-07-04,2026-11-23,2026-10-19,14,14,DELIVERED
GR-PO-000459,80,Kuruman Pump Solutions (Pty) Ltd,2026-04-08,2026-08-28,2026-09-11,3,3,DELIVERED
GR-PO-000460,81,Escarpment Electromechanical Ltd (Pty) Ltd,2025-04-19,2025-07-27,2025-07-24,14,14,DELIVERED
GR-PO-000461,81,Escarpment Electromechanical Ltd (Pty) Ltd,2026-03-23,2026-06-30,2026-07-09,4,4,DELIVERED
GR-PO-000462,81,Orange River Engineering Supplies (Pty) Ltd,2024-09-10,2024-12-18,2025-01-03,6,6,DELIVERED
GR-PO-000463,81,Escarpment Valve & Fittings (Pty) Ltd,2025-01-21,2025-04-30,2025-04-10,7,7,DELIVERED
GR-PO-000464,81,Springbok Bearing & Drive Co (Pty) Ltd,2026-05-20,2026-08-27,2026-09-13,9,9,DELIVERED
GR-PO-000465,86,Upington Valve & Fittings (Pty) Ltd,2025-10-17,2026-03-15,2026-04-19,18,18,DELIVERED
GR-PO-000466,86,Waterberg Bearing & Drive Co (Pty) Ltd,2024-12-09,2025-05-07,2025-04-15,8,8,DELIVERED
GR-PO-000467,86,Postmasburg Valve & Fittings (Pty) Ltd,2026-01-18,2026-06-16,2026-05-22,9,9,DELIVERED
GR-PO-000468,86,Lowveld Valve & Fittings (Pty) Ltd,2025-10-25,2026-03-23,2026-03-08,16,16,DELIVERED
GR-PO-000469,86,Vaal Valve & Fittings (Pty) Ltd,2025-02-23,2025-07-22,2025-07-02,17,17,DELIVERED
GR-PO-000470,86,Drakensberg Spares & Components (Pty) Ltd,2025-01-10,2025-06-08,2025-06-14,5,5,DELIVERED
GR-PO-000471,86,Kimberley Pump Solutions (Pty) Ltd,2025-08-25,2026-01-21,2026-02-22,11,11,DELIVERED
GR-PO-000472,86,Northern Cape Engineering Supplies (Pty) Ltd,2025-11-23,2026-04-21,2026-03-20,19,19,DELIVERED
GR-PO-000473,88,Bushveld Pump Solutions (Pty) Ltd,2026-05-25,2026-10-17,2026-10-02,15,15,DELIVERED
GR-PO-000474,88,Kuruman Spares & Components (Pty) Ltd,2024-10-02,2025-02-24,2025-03-28,17,17,DELIVERED
GR-PO-000475,88,Escarpment Valve & Fittings (Pty) Ltd,2024-10-10,2025-03-04,2025-02-18,4,4,DELIVERED
GR-PO-000476,88,Orange River Electromechanical Ltd (Pty) Ltd,2024-11-18,2025-04-12,2025-04-11,9,9,DELIVERED
GR-PO-000477,88,Kimberley Pump Solutions (Pty) Ltd,2025-05-08,2025-09-30,2025-09-04,4,4,DELIVERED
GR-PO-000478,88,Kimberley Pump Solutions (Pty) Ltd,2024-11-13,2025-04-07,2025-05-25,9,9,DELIVERED
GR-PO-000479,88,Springbok Bearing & Drive Co (Pty) Ltd,2026-01-16,2026-06-10,2026-05-31,9,9,DELIVERED
GR-PO-000480,88,Kalahari Bearing & Drive Co (Pty) Ltd,2024-11-14,2025-04-08,2025-03-23,6,6,DELIVERED
GR-PO-000481,89,Copperton Engineering Supplies (Pty) Ltd,2026-02-05,2026-06-15,2026-06-07,5,5,DELIVERED
GR-PO-000482,89,Copperton Engineering Supplies (Pty) Ltd,2025-07-29,2025-12-06,2025-11-22,10,10,DELIVERED
GR-PO-000483,89,Kuruman Industrial Supplies (Pty) Ltd,2025-11-14,2026-03-24,2026-03-27,16,16,DELIVERED
GR-PO-000484,89,Vaal Mining Equipment Traders (Pty) Ltd,2024-11-17,2025-03-27,2025-04-03,10,10,DELIVERED
GR-PO-000485,89,Bushveld Electromechanical Ltd (Pty) Ltd,2025-04-28,2025-09-05,2025-09-23,10,10,DELIVERED
GR-PO-000486,89,Aggeneys Pump Solutions (Pty) Ltd,2025-07-24,2025-12-01,2025-12-23,14,14,DELIVERED
GR-PO-000487,89,Orange River Industrial Supplies (Pty) Ltd,2024-11-01,2025-03-11,2025-03-29,16,16,DELIVERED
GR-PO-000488,89,Bushveld Spares & Components (Pty) Ltd,2025-08-27,2026-01-04,2026-02-01,20,20,DELIVERED
GR-PO-000489,90,Drakensberg Spares & Components (Pty) Ltd,2025-03-07,2025-07-30,2025-08-03,6,6,DELIVERED
GR-PO-000490,90,Highveld Mining Equipment Traders (Pty) Ltd,2025-06-19,2025-11-11,2025-10-23,17,17,DELIVERED
GR-PO-000491,90,Karoo Industrial Distributors (Pty) Ltd,2025-06-16,2025-11-08,2025-11-11,8,8,DELIVERED
GR-PO-000492,90,Karoo Industrial Distributors (Pty) Ltd,2026-05-09,2026-10-01,2026-10-12,5,5,DELIVERED
GR-PO-000493,92,Orange River Bearing & Drive Co (Pty) Ltd,2026-03-08,2026-06-26,2026-07-12,3,3,DELIVERED
GR-PO-000494,92,Kalahari Bearing & Drive Co (Pty) Ltd,2025-02-24,2025-06-14,2025-05-22,18,18,DELIVERED
GR-PO-000495,92,Lowveld Electromechanical Ltd (Pty) Ltd,2025-02-16,2025-06-06,2025-05-25,20,20,DELIVERED
GR-PO-000496,92,Escarpment Seals & Sealing Systems (Pty) Ltd,2025-03-27,2025-07-15,2025-08-06,14,14,DELIVERED
GR-PO-000497,92,Kimberley Pump Solutions (Pty) Ltd,2026-06-24,2026-10-12,2026-10-10,7,7,DELIVERED
GR-PO-000498,93,Kimberley Pump Solutions (Pty) Ltd,2025-06-25,2025-08-10,2025-08-05,16,16,DELIVERED
GR-PO-000499,93,Upington Mining Equipment Traders (Pty) Ltd,2026-01-05,2026-02-20,2026-02-12,4,4,DELIVERED
GR-PO-000500,93,Vaal Valve & Fittings (Pty) Ltd,2026-04-16,2026-06-01,2026-06-09,7,7,DELIVERED
GR-PO-000501,93,Upington Mining Equipment Traders (Pty) Ltd,2025-02-26,2025-04-13,2025-04-27,3,3,DELIVERED
GR-PO-000502,94,Escarpment Mining Equipment Traders (Pty) Ltd,2024-12-29,2025-05-20,2025-05-08,5,5,DELIVERED
GR-PO-000503,94,Upington Mining Equipment Traders (Pty) Ltd,2025-03-02,2025-07-22,2025-06-27,14,14,DELIVERED
GR-PO-000504,94,Postmasburg Valve & Fittings (Pty) Ltd,2026-05-01,2026-09-20,2026-10-11,3,3,DELIVERED
GR-PO-000505,94,Escarpment Electromechanical Ltd (Pty) Ltd,2025-12-26,2026-05-17,2026-05-20,4,4,DELIVERED
GR-PO-000506,94,Upington Mining Equipment Traders (Pty) Ltd,2026-04-25,2026-09-14,2026-08-25,7,7,DELIVERED
GR-PO-000507,94,Kimberley Pump Solutions (Pty) Ltd,2026-05-30,2026-10-19,2026-09-27,19,19,DELIVERED
GR-PO-000508,94,Escarpment Valve & Fittings (Pty) Ltd,2025-03-04,2025-07-24,2025-08-17,4,4,DELIVERED
GR-PO-000509,94,Bushveld Electromechanical Ltd (Pty) Ltd,2026-06-06,2026-10-26,2026-11-13,17,17,DELIVERED
GR-PO-000510,95,Escarpment Mining Equipment Traders (Pty) Ltd,2026-01-29,2026-06-01,2026-05-29,6,6,DELIVERED
GR-PO-000511,95,Kuruman Industrial Supplies (Pty) Ltd,2025-06-08,2025-10-09,2025-10-03,2,2,DELIVERED
GR-PO-000512,95,Lowveld Valve & Fittings (Pty) Ltd,2024-12-17,2025-04-19,2025-05-17,14,14,DELIVERED
GR-PO-000513,95,Vaal Valve & Fittings (Pty) Ltd,2025-09-17,2026-01-18,2026-01-27,11,11,DELIVERED
GR-PO-000514,95,Orange River Bearing & Drive Co (Pty) Ltd,2024-10-15,2025-02-15,2025-02-01,6,6,DELIVERED
GR-PO-000515,95,Namaqua Seals & Sealing Systems (Pty) Ltd,2024-12-30,2025-05-02,2025-05-10,9,9,DELIVERED
GR-PO-000516,95,Orange River Bearing & Drive Co (Pty) Ltd,2024-09-26,2025-01-27,2025-01-14,13,13,DELIVERED
GR-PO-000517,96,Bushveld Spares & Components (Pty) Ltd,2026-05-24,2026-10-11,2026-10-11,19,19,DELIVERED
GR-PO-000518,96,Lowveld Electromechanical Ltd (Pty) Ltd,2025-09-22,2026-02-09,2026-03-17,1,1,DELIVERED
GR-PO-000519,96,Springbok Valve & Fittings (Pty) Ltd,2026-06-07,2026-10-25,2026-11-07,7,7,DELIVERED
GR-PO-000520,96,Escarpment Electromechanical Ltd (Pty) Ltd,2025-05-30,2025-10-17,2025-12-06,3,3,DELIVERED
GR-PO-000521,96,Upington Valve & Fittings (Pty) Ltd,2026-04-11,2026-08-29,2026-08-18,15,15,DELIVERED
GR-PO-000522,96,Escarpment Electromechanical Ltd (Pty) Ltd,2025-03-30,2025-08-17,2025-09-02,12,12,DELIVERED
GR-PO-000523,96,Springbok Seals & Sealing Systems (Pty) Ltd,2024-12-28,2025-05-17,2025-03-25,2,2,DELIVERED
GR-PO-000524,97,Upington Valve & Fittings (Pty) Ltd,2026-05-13,2026-07-17,2026-07-20,6,6,DELIVERED
GR-PO-000525,97,Northern Cape Engineering Supplies (Pty) Ltd,2025-08-19,2025-10-23,2025-10-10,11,11,DELIVERED
GR-PO-000526,97,Springbok Valve & Fittings (Pty) Ltd,2024-11-22,2025-01-26,2025-01-21,16,16,DELIVERED
GR-PO-000527,97,Bushveld Pump Solutions (Pty) Ltd,2025-09-15,2025-11-19,2025-11-10,13,13,DELIVERED
GR-PO-000528,97,Springbok Bearing & Drive Co (Pty) Ltd,2026-01-01,2026-03-07,2026-03-13,9,9,DELIVERED
GR-PO-000529,97,Bushveld Spares & Components (Pty) Ltd,2025-01-09,2025-03-15,2025-03-18,15,15,DELIVERED
GR-PO-000530,98,Kalahari Bearing & Drive Co (Pty) Ltd,2024-10-06,2024-12-08,2024-12-01,17,17,DELIVERED
GR-PO-000531,98,Springbok Industrial Supplies (Pty) Ltd,2026-04-29,2026-07-01,2026-06-29,10,10,DELIVERED
GR-PO-000532,98,Springbok Industrial Supplies (Pty) Ltd,2026-05-25,2026-07-27,2026-07-18,19,19,DELIVERED
GR-PO-000533,98,Escarpment Valve & Fittings (Pty) Ltd,2025-11-11,2026-01-13,2026-02-01,9,9,DELIVERED
GR-PO-000534,98,Northern Cape Industrial Distributors (Pty) Ltd,2025-04-27,2025-06-29,2025-06-21,13,13,DELIVERED
GR-PO-000535,99,Escarpment Valve & Fittings (Pty) Ltd,2024-08-29,2024-12-19,2025-01-04,15,15,DELIVERED
GR-PO-000536,99,Highveld Industrial Supplies (Pty) Ltd,2026-01-03,2026-04-25,2026-05-15,6,6,DELIVERED
GR-PO-000537,99,Bushveld Spares & Components (Pty) Ltd,2025-05-11,2025-08-31,2025-08-05,17,17,DELIVERED
GR-PO-000538,99,Vaal Mining Equipment Traders (Pty) Ltd,2025-10-09,2026-01-29,2026-01-01,17,17,DELIVERED
GR-PO-000539,99,Postmasburg Valve & Fittings (Pty) Ltd,2025-05-01,2025-08-21,2025-07-28,15,15,DELIVERED
GR-PO-000540,101,Escarpment Seals & Sealing Systems (Pty) Ltd,2026-07-19,2026-12-07,2027-01-05,8,8,DELIVERED
GR-PO-000541,101,Kimberley Pump Solutions (Pty) Ltd,2025-09-25,2026-02-13,2026-02-16,10,10,DELIVERED
GR-PO-000542,101,Lowveld Electromechanical Ltd (Pty) Ltd,2025-05-10,2025-09-28,2025-08-27,1,1,DELIVERED
GR-PO-000543,101,Kalahari Bearing & Drive Co (Pty) Ltd,2025-06-15,2025-11-03,2025-10-12,17,17,DELIVERED
GR-PO-000544,101,Orange River Industrial Supplies (Pty) Ltd,2025-03-25,2025-08-13,2025-08-14,19,19,DELIVERED
GR-PO-000545,101,Upington Valve & Fittings (Pty) Ltd,2026-04-19,2026-09-07,2026-09-12,5,5,DELIVERED
GR-PO-000546,101,Escarpment Electromechanical Ltd (Pty) Ltd,2024-09-14,2025-02-02,2025-02-28,9,9,DELIVERED
GR-PO-000547,101,Northern Cape Engineering Supplies (Pty) Ltd,2025-08-10,2025-12-29,2026-01-18,6,6,DELIVERED
GR-PO-000548,102,Orange River Industrial Supplies (Pty) Ltd,2025-07-18,2025-09-09,2025-09-29,7,7,DELIVERED
GR-PO-000549,102,Northern Cape Engineering Supplies (Pty) Ltd,2025-05-04,2025-06-26,2025-06-09,6,6,DELIVERED
GR-PO-000550,102,Vaal Mining Equipment Traders (Pty) Ltd,2024-11-17,2025-01-09,2025-01-08,7,7,DELIVERED
GR-PO-000551,102,Vaal Valve & Fittings (Pty) Ltd,2025-07-05,2025-08-27,2025-08-30,6,6,DELIVERED
GR-PO-000552,102,Bushveld Engineering Supplies (Pty) Ltd,2025-11-15,2026-01-07,2026-01-14,16,16,DELIVERED
GR-PO-000553,102,Orange River Industrial Supplies (Pty) Ltd,2026-07-15,2026-09-06,2026-09-04,16,16,DELIVERED
GR-PO-000554,102,Vaal Mining Equipment Traders (Pty) Ltd,2026-02-17,2026-04-11,2026-04-13,2,2,DELIVERED
GR-PO-000555,102,Lowveld Valve & Fittings (Pty) Ltd,2025-08-15,2025-10-07,2025-09-30,15,15,DELIVERED
GR-PO-000556,103,Kimberley Pump Solutions (Pty) Ltd,2025-03-21,2025-07-12,2025-06-29,14,14,DELIVERED
GR-PO-000557,103,Bushveld Pump Solutions (Pty) Ltd,2026-07-25,2026-11-15,2026-11-08,6,6,DELIVERED
GR-PO-000558,103,Highveld Mining Equipment Traders (Pty) Ltd,2025-11-06,2026-02-27,2026-02-18,15,15,DELIVERED
GR-PO-000559,103,Orange River Industrial Supplies (Pty) Ltd,2026-05-14,2026-09-04,2026-09-13,3,3,DELIVERED
GR-PO-000560,104,Kuruman Pump Solutions (Pty) Ltd,2024-11-07,2025-02-13,2025-01-22,10,10,DELIVERED
GR-PO-000561,104,Orange River Engineering Supplies (Pty) Ltd,2026-05-04,2026-08-10,2026-08-21,14,14,DELIVERED
GR-PO-000562,104,Aggeneys Pump Solutions (Pty) Ltd,2025-06-06,2025-09-12,2025-09-10,12,12,DELIVERED
GR-PO-000563,104,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-10-05,2026-01-11,2026-01-03,11,11,DELIVERED
GR-PO-000564,104,Kuruman Spares & Components (Pty) Ltd,2026-06-18,2026-09-24,2026-09-02,20,20,DELIVERED
GR-PO-000565,104,Highveld Mining Equipment Traders (Pty) Ltd,2025-12-22,2026-03-30,2026-03-29,8,8,DELIVERED
GR-PO-000566,104,Kuruman Industrial Supplies (Pty) Ltd,2024-12-12,2025-03-20,2025-03-05,5,5,DELIVERED
GR-PO-000567,104,Orange River Industrial Supplies (Pty) Ltd,2025-10-17,2026-01-23,2026-01-14,7,7,DELIVERED
GR-PO-000568,105,Vaal Valve & Fittings (Pty) Ltd,2025-09-20,2026-01-09,2025-12-31,15,15,DELIVERED
GR-PO-000569,105,Bushveld Pump Solutions (Pty) Ltd,2026-04-04,2026-07-24,2026-08-07,1,1,DELIVERED
GR-PO-000570,105,Escarpment Mining Equipment Traders (Pty) Ltd,2025-12-17,2026-04-07,2026-04-07,6,6,DELIVERED
GR-PO-000571,105,Escarpment Valve & Fittings (Pty) Ltd,2025-03-30,2025-07-19,2025-08-22,14,14,DELIVERED
GR-PO-000572,105,Namaqua Seals & Sealing Systems (Pty) Ltd,2025-06-21,2025-10-10,2025-09-22,3,3,DELIVERED
GR-PO-000573,105,Springbok Bearing & Drive Co (Pty) Ltd,2025-12-22,2026-04-12,2026-05-24,11,11,DELIVERED
GR-PO-000574,106,Orange River Electromechanical Ltd (Pty) Ltd,2025-12-29,2026-03-10,2026-03-05,10,10,DELIVERED
GR-PO-000575,106,Escarpment Valve & Fittings (Pty) Ltd,2025-05-05,2025-07-15,2025-06-30,2,2,DELIVERED
GR-PO-000576,106,Lowveld Valve & Fittings (Pty) Ltd,2024-10-28,2025-01-07,2025-01-08,17,17,DELIVERED
GR-PO-000577,106,Lowveld Electromechanical Ltd (Pty) Ltd,2026-01-29,2026-04-10,2026-04-07,7,7,DELIVERED
GR-PO-000578,106,Upington Mining Equipment Traders (Pty) Ltd,2025-01-22,2025-04-03,2025-03-24,17,17,DELIVERED
GR-PO-000579,107,Springbok Industrial Supplies (Pty) Ltd,2024-12-29,2025-05-19,2025-04-22,4,4,DELIVERED
GR-PO-000580,107,Escarpment Valve & Fittings (Pty) Ltd,2026-03-16,2026-08-04,2026-08-12,11,11,DELIVERED
GR-PO-000581,107,Postmasburg Valve & Fittings (Pty) Ltd,2025-04-29,2025-09-17,2025-10-21,12,12,DELIVERED
GR-PO-000582,107,Karoo Industrial Distributors (Pty) Ltd,2026-03-19,2026-08-07,2026-08-08,3,3,DELIVERED
GR-PO-000583,107,Karoo Industrial Distributors (Pty) Ltd,2025-01-05,2025-05-26,2025-06-09,18,18,DELIVERED
GR-PO-000584,107,Vaal Valve & Fittings (Pty) Ltd,2026-07-21,2026-12-09,2026-12-14,16,16,DELIVERED
GR-PO-000585,107,Escarpment Seals & Sealing Systems (Pty) Ltd,2026-05-10,2026-09-28,2026-09-21,18,18,DELIVERED
GR-PO-000586,109,Springbok Bearing & Drive Co (Pty) Ltd,2025-10-07,2026-02-23,2026-02-10,17,17,DELIVERED
GR-PO-000587,109,Vaal Mining Equipment Traders (Pty) Ltd,2024-10-16,2025-03-04,2025-03-13,20,20,DELIVERED
GR-PO-000588,109,Postmasburg Valve & Fittings (Pty) Ltd,2026-01-21,2026-06-09,2026-06-15,6,6,DELIVERED
GR-PO-000589,109,Copperton Engineering Supplies (Pty) Ltd,2025-04-13,2025-08-30,2025-09-06,13,13,DELIVERED
GR-PO-000590,109,Bushveld Electromechanical Ltd (Pty) Ltd,2025-04-27,2025-09-13,2025-09-12,9,9,DELIVERED
GR-PO-000591,109,Escarpment Electromechanical Ltd (Pty) Ltd,2025-07-01,2025-11-17,2025-10-13,10,10,DELIVERED
GR-PO-000592,110,Springbok Valve & Fittings (Pty) Ltd,2025-06-12,2025-08-21,2025-08-17,20,20,DELIVERED
GR-PO-000593,110,Orange River Industrial Supplies (Pty) Ltd,2025-09-17,2025-11-26,2025-12-07,14,14,DELIVERED
GR-PO-000594,110,Highveld Industrial Supplies (Pty) Ltd,2025-10-14,2025-12-23,2026-01-02,19,19,DELIVERED
GR-PO-000595,110,Vaal Mining Equipment Traders (Pty) Ltd,2026-04-06,2026-06-15,2026-05-26,1,1,DELIVERED
GR-PO-000596,110,Postmasburg Valve & Fittings (Pty) Ltd,2026-01-01,2026-03-12,2026-03-10,4,4,DELIVERED
GR-PO-000597,110,Highveld Industrial Supplies (Pty) Ltd,2025-04-16,2025-06-25,2025-06-19,9,9,DELIVERED
GR-PO-000598,113,Waterberg Bearing & Drive Co (Pty) Ltd,2025-04-03,2025-07-11,2025-06-23,8,8,DELIVERED
GR-PO-000599,113,Waterberg Bearing & Drive Co (Pty) Ltd,2025-01-31,2025-05-10,2025-05-21,5,5,DELIVERED
GR-PO-000600,113,Postmasburg Valve & Fittings (Pty) Ltd,2025-05-17,2025-08-24,2025-08-07,5,5,DELIVERED
GR-PO-000601,113,Northern Cape Industrial Distributors (Pty) Ltd,2024-09-14,2024-12-22,2024-12-28,13,13,DELIVERED
GR-PO-000602,113,Lowveld Electromechanical Ltd (Pty) Ltd,2025-08-18,2025-11-25,2025-11-30,16,16,DELIVERED
GR-PO-000603,114,Kuruman Industrial Supplies (Pty) Ltd,2025-08-27,2025-12-05,2025-11-23,14,14,DELIVERED
GR-PO-000604,114,Bushveld Spares & Components (Pty) Ltd,2025-08-15,2025-11-23,2025-11-01,20,20,DELIVERED
GR-PO-000605,114,Kuruman Industrial Supplies (Pty) Ltd,2024-10-29,2025-02-06,2025-02-14,15,15,DELIVERED
GR-PO-000606,114,Orange River Bearing & Drive Co (Pty) Ltd,2025-06-03,2025-09-11,2025-09-07,15,15,DELIVERED
GR-PO-000607,114,Vaal Valve & Fittings (Pty) Ltd,2026-03-23,2026-07-01,2026-06-02,8,8,DELIVERED
GR-PO-000608,114,Drakensberg Spares & Components (Pty) Ltd,2025-09-27,2026-01-05,2025-12-25,15,15,DELIVERED
GR-PO-000609,115,Orange River Industrial Supplies (Pty) Ltd,2025-05-13,2025-07-04,2025-07-07,20,20,DELIVERED
GR-PO-000610,115,Northern Cape Engineering Supplies (Pty) Ltd,2025-04-13,2025-06-04,2025-05-25,12,12,DELIVERED
GR-PO-000611,115,Bushveld Spares & Components (Pty) Ltd,2025-07-19,2025-09-09,2025-09-06,8,8,DELIVERED
GR-PO-000612,115,Kalahari Bearing & Drive Co (Pty) Ltd,2025-02-11,2025-04-04,2025-03-26,11,11,DELIVERED
GR-PO-000613,115,Springbok Seals & Sealing Systems (Pty) Ltd,2025-05-19,2025-07-10,2025-07-18,9,9,DELIVERED
GR-PO-000614,115,Kuruman Industrial Supplies (Pty) Ltd,2025-05-27,2025-07-18,2025-07-29,18,18,DELIVERED
GR-PO-000615,116,Kalahari Bearing & Drive Co (Pty) Ltd,2024-09-13,2024-12-06,2024-11-28,11,11,DELIVERED
GR-PO-000616,116,Escarpment Mining Equipment Traders (Pty) Ltd,2026-03-31,2026-06-23,2026-06-21,10,10,DELIVERED
GR-PO-000617,116,Kalahari Bearing & Drive Co (Pty) Ltd,2026-02-04,2026-04-29,2026-04-28,19,19,DELIVERED
GR-PO-000618,116,Upington Mining Equipment Traders (Pty) Ltd,2026-05-12,2026-08-04,2026-08-12,5,5,DELIVERED
GR-PO-000619,116,Kuruman Industrial Supplies (Pty) Ltd,2025-03-13,2025-06-05,2025-06-07,6,6,DELIVERED
GR-PO-000620,116,Highveld Industrial Supplies (Pty) Ltd,2024-09-10,2024-12-03,2024-12-14,14,14,DELIVERED
GR-PO-000621,116,Springbok Seals & Sealing Systems (Pty) Ltd,2025-03-10,2025-06-02,2025-05-21,4,4,DELIVERED
GR-PO-000622,116,Vaal Valve & Fittings (Pty) Ltd,2025-05-25,2025-08-17,2025-08-12,14,14,DELIVERED
GR-PO-000623,117,Upington Valve & Fittings (Pty) Ltd,2026-04-07,2026-07-04,2026-06-22,7,7,DELIVERED
GR-PO-000624,117,Springbok Seals & Sealing Systems (Pty) Ltd,2025-12-12,2026-03-10,2026-03-19,10,10,DELIVERED
GR-PO-000625,117,Orange River Industrial Distributors (Pty) Ltd,2026-02-08,2026-05-07,2026-05-13,17,17,DELIVERED
GR-PO-000626,117,Upington Mining Equipment Traders (Pty) Ltd,2024-08-29,2024-11-25,2024-10-28,1,1,DELIVERED
GR-PO-000627,117,Bushveld Spares & Components (Pty) Ltd,2025-07-10,2025-10-06,2025-10-10,8,8,DELIVERED
GR-PO-000628,118,Postmasburg Valve & Fittings (Pty) Ltd,2025-01-22,2025-05-29,2025-05-02,19,19,DELIVERED
GR-PO-000629,118,Highveld Mining Equipment Traders (Pty) Ltd,2025-06-03,2025-10-08,2025-10-20,9,9,DELIVERED
GR-PO-000630,118,Karoo Industrial Distributors (Pty) Ltd,2025-03-17,2025-07-22,2025-07-27,19,19,DELIVERED
